,番号,地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度,検索対象最大震度,Unnamed: 9,lat,lon
15,16,52:13.6,熊本県熊本地方,32°32.1′N,130°38.1′E,10km,Ｍ5.5,５強,５強,,32.53361111111111,130.6336111111111
16,17,41:57.9,熊本県阿蘇地方,33°00.1′N,131°11.9′E,9km,Ｍ5.8,５強,５強,,33.000277777777775,131.18583333333333
17,18,03:10.7,熊本県阿蘇地方,32°57.8′N,131°05.2′E,7km,Ｍ5.9,５強,５強,,32.952222222222225,131.0838888888889
18,19,06:21.3,熊本県熊本地方,32°41.7′N,130°45.1′E,11km,Ｍ5.0,５強,５強,,32.68527777777778,130.75027777777777
19,20,25:12.4,徳島県南部,33°44.0′N,134°22.2′E,11km,Ｍ5.1,５強,５強,,33.733333333333334,134.36722222222224
20,21,33:27.5,熊本県熊本地方,32°54.8′N,130°51.0′E,10km,Ｍ4.5,５強,５強,,32.90222222222222,130.85
21,22,11:26.8,福岡県北西沖,33°40.6′N,130°17.2′E,14km,Ｍ5.8,５強,５強,,33.66833333333333,130.2838888888889
22,23,50:12.7,山口県中部,34°26.4′N,131°39.9′E,8km,Ｍ6.6,５強,５強,,34.43444444444444,131.6525
23,24,33:23.3,鹿児島県薩摩地方,31°58.2′N,130°19.3′E,15km,Ｍ5.7,５強,５強,,31.96722222222222,130.3175
24,25,31:47.9,鹿児島県薩摩地方,31°58.3′N,130°21.5′E,12km,Ｍ6.6,５強,５強,,31.967499999999998,130.3513888888889
25,26,10:30.8,奄美大島近海,28°23.2′N,129°46.5′E,9km,Ｍ5.2,5,5,,28.383888888888887,129.76805555555558
26,27,38:10.9,橘湾,32°47.5′N,130°09.6′E,11km,Ｍ5.0,5,5,,32.78472222222222,130.15166666666667
27,28,19:14.7,熊本県阿蘇地方,33°01.5′N,131°08.9′E,0km,Ｍ6.1,5,5,,33.018055555555556,131.13583333333332
28,29,41:10.5,日向灘,32°06.1′N,132°01.6′E,20km,Ｍ6.7,5,5,,32.10027777777778,132.01833333333335
29,30,01:51.6,奄美大島近海,28°29.5′N,129°05.7′E,0km,Ｍ6.1,5,5,,28.484722222222224,129.08527777777778
30,31,44:52.0,宮崎県南部山沿い,32°02.0′N,130°45.3′E,0km,Ｍ6.1,5,5,,32.03333333333333,130.75083333333333
31,32,51:39.7,宮崎県南部山沿い,32°02.9′N,130°47.4′E,0km,Ｍ5.7,5,5,,32.03583333333333,130.78444444444443
32,33,58:22.7,熊本県阿蘇地方,33°00.2′N,131°14.2′E,11km,Ｍ4.5,５弱,５弱,,33.00055555555556,131.23388888888888
33,34,46:02.7,熊本県熊本地方,32°43.3′N,130°37.0′E,13km,Ｍ5.2,５弱,５弱,,32.7175,130.61666666666667
34,35,08:15.0,熊本県熊本地方,32°26.9′N,130°40.8′E,7km,Ｍ4.3,５弱,５弱,,32.43583333333333,130.6688888888889
35,36,47:03.3,熊本県熊本地方,32°34.3′N,130°39.1′E,11km,Ｍ5.0,５弱,５弱,,32.5675,130.65027777777777
36,37,02:01.0,熊本県熊本地方,32°41.9′N,130°43.2′E,12km,Ｍ5.4,５弱,５弱,,32.68583333333333,130.71722222222223
37,38,50:06.2,熊本県熊本地方,32°51.1′N,130°49.7′E,15km,Ｍ4.5,５弱,５弱,,32.85027777777778,130.8186111111111
38,39,23:54.3,熊本県熊本地方,32°47.2′N,130°46.4′E,12km,Ｍ4.8,５弱,５弱,,32.78388888888889,130.76777777777778
39,40,11:37.4,大分県中部,33°16.2′N,131°23.7′E,6km,Ｍ5.4,５弱,５弱,,33.26722222222222,131.38527777777776
