,center-point,bbox
64,"(34.128023283610588, 133.57606841447722)","(33.914011641805295, 133.39631413857239, 34.342034925415881, 133.75582269038205)"
65,"(34.128023283610588, 133.75582269038205)","(33.914011641805295, 133.57606841447722, 34.342034925415881, 133.93557696628687)"
66,"(34.128023283610588, 133.93557696628687)","(33.914011641805295, 133.75582269038205, 34.342034925415881, 134.1153312421917)"
67,"(34.128023283610588, 134.1153312421917)","(33.914011641805295, 133.93557696628687, 34.342034925415881, 134.29508551809653)"
68,"(34.128023283610588, 134.29508551809653)","(33.914011641805295, 134.1153312421917, 34.342034925415881, 134.47483979400135)"
69,"(34.128023283610588, 134.47483979400135)","(33.914011641805295, 134.29508551809653, 34.342034925415881, 134.65459406990618)"
70,"(34.128023283610588, 134.65459406990618)","(33.914011641805295, 134.47483979400135, 34.342034925415881, 134.83434834581101)"
71,"(34.128023283610588, 134.83434834581101)","(33.914011641805295, 134.65459406990618, 34.342034925415881, 135.01410262171584)"
72,"(34.342034925415881, 130.69999999999999)","(34.128023283610588, 130.52024572409516, 34.556046567221173, 130.87975427590482)"
73,"(34.342034925415881, 130.87975427590482)","(34.128023283610588, 130.69999999999999, 34.556046567221173, 131.05950855180964)"
74,"(34.342034925415881, 131.05950855180964)","(34.128023283610588, 130.87975427590482, 34.556046567221173, 131.23926282771447)"
75,"(34.342034925415881, 131.23926282771447)","(34.128023283610588, 131.05950855180964, 34.556046567221173, 131.4190171036193)"
76,"(34.342034925415881, 131.4190171036193)","(34.128023283610588, 131.23926282771447, 34.556046567221173, 131.59877137952412)"
77,"(34.342034925415881, 131.59877137952412)","(34.128023283610588, 131.4190171036193, 34.556046567221173, 131.77852565542895)"
78,"(34.342034925415881, 131.77852565542895)","(34.128023283610588, 131.59877137952412, 34.556046567221173, 131.95827993133378)"
79,"(34.342034925415881, 131.95827993133378)","(34.128023283610588, 131.77852565542895, 34.556046567221173, 132.1380342072386)"
80,"(34.342034925415881, 132.1380342072386)","(34.128023283610588, 131.95827993133378, 34.556046567221173, 132.31778848314343)"
81,"(34.342034925415881, 132.31778848314343)","(34.128023283610588, 132.1380342072386, 34.556046567221173, 132.49754275904826)"
82,"(34.342034925415881, 132.49754275904826)","(34.128023283610588, 132.31778848314343, 34.556046567221173, 132.67729703495309)"
83,"(34.342034925415881, 132.67729703495309)","(34.128023283610588, 132.49754275904826, 34.556046567221173, 132.85705131085791)"
84,"(34.342034925415881, 132.85705131085791)","(34.128023283610588, 132.67729703495309, 34.556046567221173, 133.03680558676274)"
85,"(34.342034925415881, 133.03680558676274)","(34.128023283610588, 132.85705131085791, 34.556046567221173, 133.21655986266757)"
86,"(34.342034925415881, 133.21655986266757)","(34.128023283610588, 133.03680558676274, 34.556046567221173, 133.39631413857239)"
87,"(34.342034925415881, 133.39631413857239)","(34.128023283610588, 133.21655986266757, 34.556046567221173, 133.57606841447722)"
88,"(34.342034925415881, 133.57606841447722)","(34.128023283610588, 133.39631413857239, 34.556046567221173, 133.75582269038205)"
89,"(34.342034925415881, 133.75582269038205)","(34.128023283610588, 133.57606841447722, 34.556046567221173, 133.93557696628687)"
90,"(34.342034925415881, 133.93557696628687)","(34.128023283610588, 133.75582269038205, 34.556046567221173, 134.1153312421917)"
91,"(34.342034925415881, 134.1153312421917)","(34.128023283610588, 133.93557696628687, 34.556046567221173, 134.29508551809653)"
92,"(34.342034925415881, 134.29508551809653)","(34.128023283610588, 134.1153312421917, 34.556046567221173, 134.47483979400135)"
93,"(34.342034925415881, 134.47483979400135)","(34.128023283610588, 134.29508551809653, 34.556046567221173, 134.65459406990618)"
94,"(34.342034925415881, 134.65459406990618)","(34.128023283610588, 134.47483979400135, 34.556046567221173, 134.83434834581101)"
95,"(34.342034925415881, 134.83434834581101)","(34.128023283610588, 134.65459406990618, 34.556046567221173, 135.01410262171584)"
96,"(34.556046567221173, 130.69999999999999)","(34.342034925415881, 130.52024572409516, 34.770058209026466, 130.87975427590482)"
97,"(34.556046567221173, 130.87975427590482)","(34.342034925415881, 130.69999999999999, 34.770058209026466, 131.05950855180964)"
98,"(34.556046567221173, 131.05950855180964)","(34.342034925415881, 130.87975427590482, 34.770058209026466, 131.23926282771447)"
99,"(34.556046567221173, 131.23926282771447)","(34.342034925415881, 131.05950855180964, 34.770058209026466, 131.4190171036193)"
100,"(34.556046567221173, 131.4190171036193)","(34.342034925415881, 131.23926282771447, 34.770058209026466, 131.59877137952412)"
101,"(34.556046567221173, 131.59877137952412)","(34.342034925415881, 131.4190171036193, 34.770058209026466, 131.77852565542895)"
102,"(34.556046567221173, 131.77852565542895)","(34.342034925415881, 131.59877137952412, 34.770058209026466, 131.95827993133378)"
103,"(34.556046567221173, 131.95827993133378)","(34.342034925415881, 131.77852565542895, 34.770058209026466, 132.1380342072386)"
104,"(34.556046567221173, 132.1380342072386)","(34.342034925415881, 131.95827993133378, 34.770058209026466, 132.31778848314343)"
105,"(34.556046567221173, 132.31778848314343)","(34.342034925415881, 132.1380342072386, 34.770058209026466, 132.49754275904826)"
106,"(34.556046567221173, 132.49754275904826)","(34.342034925415881, 132.31778848314343, 34.770058209026466, 132.67729703495309)"
107,"(34.556046567221173, 132.67729703495309)","(34.342034925415881, 132.49754275904826, 34.770058209026466, 132.85705131085791)"
108,"(34.556046567221173, 132.85705131085791)","(34.342034925415881, 132.67729703495309, 34.770058209026466, 133.03680558676274)"
109,"(34.556046567221173, 133.03680558676274)","(34.342034925415881, 132.85705131085791, 34.770058209026466, 133.21655986266757)"
110,"(34.556046567221173, 133.21655986266757)","(34.342034925415881, 133.03680558676274, 34.770058209026466, 133.39631413857239)"
111,"(34.556046567221173, 133.39631413857239)","(34.342034925415881, 133.21655986266757, 34.770058209026466, 133.57606841447722)"
112,"(34.556046567221173, 133.57606841447722)","(34.342034925415881, 133.39631413857239, 34.770058209026466, 133.75582269038205)"
113,"(34.556046567221173, 133.75582269038205)","(34.342034925415881, 133.57606841447722, 34.770058209026466, 133.93557696628687)"
114,"(34.556046567221173, 133.93557696628687)","(34.342034925415881, 133.75582269038205, 34.770058209026466, 134.1153312421917)"
115,"(34.556046567221173, 134.1153312421917)","(34.342034925415881, 133.93557696628687, 34.770058209026466, 134.29508551809653)"
116,"(34.556046567221173, 134.29508551809653)","(34.342034925415881, 134.1153312421917, 34.770058209026466, 134.47483979400135)"
117,"(34.556046567221173, 134.47483979400135)","(34.342034925415881, 134.29508551809653, 34.770058209026466, 134.65459406990618)"
118,"(34.556046567221173, 134.65459406990618)","(34.342034925415881, 134.47483979400135, 34.770058209026466, 134.83434834581101)"
119,"(34.556046567221173, 134.83434834581101)","(34.342034925415881, 134.65459406990618, 34.770058209026466, 135.01410262171584)"
120,"(34.770058209026466, 130.69999999999999)","(34.556046567221173, 130.52024572409516, 34.984069850831759, 130.87975427590482)"
121,"(34.770058209026466, 130.87975427590482)","(34.556046567221173, 130.69999999999999, 34.984069850831759, 131.05950855180964)"
122,"(34.770058209026466, 131.05950855180964)","(34.556046567221173, 130.87975427590482, 34.984069850831759, 131.23926282771447)"
123,"(34.770058209026466, 131.23926282771447)","(34.556046567221173, 131.05950855180964, 34.984069850831759, 131.4190171036193)"
124,"(34.770058209026466, 131.4190171036193)","(34.556046567221173, 131.23926282771447, 34.984069850831759, 131.59877137952412)"
125,"(34.770058209026466, 131.59877137952412)","(34.556046567221173, 131.4190171036193, 34.984069850831759, 131.77852565542895)"
126,"(34.770058209026466, 131.77852565542895)","(34.556046567221173, 131.59877137952412, 34.984069850831759, 131.95827993133378)"
127,"(34.770058209026466, 131.95827993133378)","(34.556046567221173, 131.77852565542895, 34.984069850831759, 132.1380342072386)"
128,"(34.770058209026466, 132.1380342072386)","(34.556046567221173, 131.95827993133378, 34.984069850831759, 132.31778848314343)"
129,"(34.770058209026466, 132.31778848314343)","(34.556046567221173, 132.1380342072386, 34.984069850831759, 132.49754275904826)"
130,"(34.770058209026466, 132.49754275904826)","(34.556046567221173, 132.31778848314343, 34.984069850831759, 132.67729703495309)"
131,"(34.770058209026466, 132.67729703495309)","(34.556046567221173, 132.49754275904826, 34.984069850831759, 132.85705131085791)"
132,"(34.770058209026466, 132.85705131085791)","(34.556046567221173, 132.67729703495309, 34.984069850831759, 133.03680558676274)"
133,"(34.770058209026466, 133.03680558676274)","(34.556046567221173, 132.85705131085791, 34.984069850831759, 133.21655986266757)"
134,"(34.770058209026466, 133.21655986266757)","(34.556046567221173, 133.03680558676274, 34.984069850831759, 133.39631413857239)"
135,"(34.770058209026466, 133.39631413857239)","(34.556046567221173, 133.21655986266757, 34.984069850831759, 133.57606841447722)"
136,"(34.770058209026466, 133.57606841447722)","(34.556046567221173, 133.39631413857239, 34.984069850831759, 133.75582269038205)"
137,"(34.770058209026466, 133.75582269038205)","(34.556046567221173, 133.57606841447722, 34.984069850831759, 133.93557696628687)"
138,"(34.770058209026466, 133.93557696628687)","(34.556046567221173, 133.75582269038205, 34.984069850831759, 134.1153312421917)"
139,"(34.770058209026466, 134.1153312421917)","(34.556046567221173, 133.93557696628687, 34.984069850831759, 134.29508551809653)"
140,"(34.770058209026466, 134.29508551809653)","(34.556046567221173, 134.1153312421917, 34.984069850831759, 134.47483979400135)"
141,"(34.770058209026466, 134.47483979400135)","(34.556046567221173, 134.29508551809653, 34.984069850831759, 134.65459406990618)"
142,"(34.770058209026466, 134.65459406990618)","(34.556046567221173, 134.47483979400135, 34.984069850831759, 134.83434834581101)"
143,"(34.770058209026466, 134.83434834581101)","(34.556046567221173, 134.65459406990618, 34.984069850831759, 135.01410262171584)"
144,"(34.984069850831759, 130.69999999999999)","(34.770058209026466, 130.52024572409516, 35.198081492637051, 130.87975427590482)"
145,"(34.984069850831759, 130.87975427590482)","(34.770058209026466, 130.69999999999999, 35.198081492637051, 131.05950855180964)"
146,"(34.984069850831759, 131.05950855180964)","(34.770058209026466, 130.87975427590482, 35.198081492637051, 131.23926282771447)"
147,"(34.984069850831759, 131.23926282771447)","(34.770058209026466, 131.05950855180964, 35.198081492637051, 131.4190171036193)"
148,"(34.984069850831759, 131.4190171036193)","(34.770058209026466, 131.23926282771447, 35.198081492637051, 131.59877137952412)"
149,"(34.984069850831759, 131.59877137952412)","(34.770058209026466, 131.4190171036193, 35.198081492637051, 131.77852565542895)"
150,"(34.984069850831759, 131.77852565542895)","(34.770058209026466, 131.59877137952412, 35.198081492637051, 131.95827993133378)"
151,"(34.984069850831759, 131.95827993133378)","(34.770058209026466, 131.77852565542895, 35.198081492637051, 132.1380342072386)"
152,"(34.984069850831759, 132.1380342072386)","(34.770058209026466, 131.95827993133378, 35.198081492637051, 132.31778848314343)"
153,"(34.984069850831759, 132.31778848314343)","(34.770058209026466, 132.1380342072386, 35.198081492637051, 132.49754275904826)"
154,"(34.984069850831759, 132.49754275904826)","(34.770058209026466, 132.31778848314343, 35.198081492637051, 132.67729703495309)"
155,"(34.984069850831759, 132.67729703495309)","(34.770058209026466, 132.49754275904826, 35.198081492637051, 132.85705131085791)"
156,"(34.984069850831759, 132.85705131085791)","(34.770058209026466, 132.67729703495309, 35.198081492637051, 133.03680558676274)"
157,"(34.984069850831759, 133.03680558676274)","(34.770058209026466, 132.85705131085791, 35.198081492637051, 133.21655986266757)"
158,"(34.984069850831759, 133.21655986266757)","(34.770058209026466, 133.03680558676274, 35.198081492637051, 133.39631413857239)"
159,"(34.984069850831759, 133.39631413857239)","(34.770058209026466, 133.21655986266757, 35.198081492637051, 133.57606841447722)"
160,"(34.984069850831759, 133.57606841447722)","(34.770058209026466, 133.39631413857239, 35.198081492637051, 133.75582269038205)"
161,"(34.984069850831759, 133.75582269038205)","(34.770058209026466, 133.57606841447722, 35.198081492637051, 133.93557696628687)"
162,"(34.984069850831759, 133.93557696628687)","(34.770058209026466, 133.75582269038205, 35.198081492637051, 134.1153312421917)"
163,"(34.984069850831759, 134.1153312421917)","(34.770058209026466, 133.93557696628687, 35.198081492637051, 134.29508551809653)"
164,"(34.984069850831759, 134.29508551809653)","(34.770058209026466, 134.1153312421917, 35.198081492637051, 134.47483979400135)"
165,"(34.984069850831759, 134.47483979400135)","(34.770058209026466, 134.29508551809653, 35.198081492637051, 134.65459406990618)"
166,"(34.984069850831759, 134.65459406990618)","(34.770058209026466, 134.47483979400135, 35.198081492637051, 134.83434834581101)"
167,"(34.984069850831759, 134.83434834581101)","(34.770058209026466, 134.65459406990618, 35.198081492637051, 135.01410262171584)"
168,"(35.198081492637051, 130.69999999999999)","(34.984069850831759, 130.52024572409516, 35.412093134442344, 130.87975427590482)"
169,"(35.198081492637051, 130.87975427590482)","(34.984069850831759, 130.69999999999999, 35.412093134442344, 131.05950855180964)"
170,"(35.198081492637051, 131.05950855180964)","(34.984069850831759, 130.87975427590482, 35.412093134442344, 131.23926282771447)"
171,"(35.198081492637051, 131.23926282771447)","(34.984069850831759, 131.05950855180964, 35.412093134442344, 131.4190171036193)"
172,"(35.198081492637051, 131.4190171036193)","(34.984069850831759, 131.23926282771447, 35.412093134442344, 131.59877137952412)"
173,"(35.198081492637051, 131.59877137952412)","(34.984069850831759, 131.4190171036193, 35.412093134442344, 131.77852565542895)"
174,"(35.198081492637051, 131.77852565542895)","(34.984069850831759, 131.59877137952412, 35.412093134442344, 131.95827993133378)"
175,"(35.198081492637051, 131.95827993133378)","(34.984069850831759, 131.77852565542895, 35.412093134442344, 132.1380342072386)"
176,"(35.198081492637051, 132.1380342072386)","(34.984069850831759, 131.95827993133378, 35.412093134442344, 132.31778848314343)"
177,"(35.198081492637051, 132.31778848314343)","(34.984069850831759, 132.1380342072386, 35.412093134442344, 132.49754275904826)"
178,"(35.198081492637051, 132.49754275904826)","(34.984069850831759, 132.31778848314343, 35.412093134442344, 132.67729703495309)"
179,"(35.198081492637051, 132.67729703495309)","(34.984069850831759, 132.49754275904826, 35.412093134442344, 132.85705131085791)"
180,"(35.198081492637051, 132.85705131085791)","(34.984069850831759, 132.67729703495309, 35.412093134442344, 133.03680558676274)"
181,"(35.198081492637051, 133.03680558676274)","(34.984069850831759, 132.85705131085791, 35.412093134442344, 133.21655986266757)"
182,"(35.198081492637051, 133.21655986266757)","(34.984069850831759, 133.03680558676274, 35.412093134442344, 133.39631413857239)"
183,"(35.198081492637051, 133.39631413857239)","(34.984069850831759, 133.21655986266757, 35.412093134442344, 133.57606841447722)"
184,"(35.198081492637051, 133.57606841447722)","(34.984069850831759, 133.39631413857239, 35.412093134442344, 133.75582269038205)"
185,"(35.198081492637051, 133.75582269038205)","(34.984069850831759, 133.57606841447722, 35.412093134442344, 133.93557696628687)"
186,"(35.198081492637051, 133.93557696628687)","(34.984069850831759, 133.75582269038205, 35.412093134442344, 134.1153312421917)"
187,"(35.198081492637051, 134.1153312421917)","(34.984069850831759, 133.93557696628687, 35.412093134442344, 134.29508551809653)"
188,"(35.198081492637051, 134.29508551809653)","(34.984069850831759, 134.1153312421917, 35.412093134442344, 134.47483979400135)"
189,"(35.198081492637051, 134.47483979400135)","(34.984069850831759, 134.29508551809653, 35.412093134442344, 134.65459406990618)"
190,"(35.198081492637051, 134.65459406990618)","(34.984069850831759, 134.47483979400135, 35.412093134442344, 134.83434834581101)"
191,"(35.198081492637051, 134.83434834581101)","(34.984069850831759, 134.65459406990618, 35.412093134442344, 135.01410262171584)"
192,"(35.412093134442344, 130.69999999999999)","(35.198081492637051, 130.52024572409516, 35.626104776247637, 130.87975427590482)"
193,"(35.412093134442344, 130.87975427590482)","(35.198081492637051, 130.69999999999999, 35.626104776247637, 131.05950855180964)"
194,"(35.412093134442344, 131.05950855180964)","(35.198081492637051, 130.87975427590482, 35.626104776247637, 131.23926282771447)"
195,"(35.412093134442344, 131.23926282771447)","(35.198081492637051, 131.05950855180964, 35.626104776247637, 131.4190171036193)"
196,"(35.412093134442344, 131.4190171036193)","(35.198081492637051, 131.23926282771447, 35.626104776247637, 131.59877137952412)"
197,"(35.412093134442344, 131.59877137952412)","(35.198081492637051, 131.4190171036193, 35.626104776247637, 131.77852565542895)"
198,"(35.412093134442344, 131.77852565542895)","(35.198081492637051, 131.59877137952412, 35.626104776247637, 131.95827993133378)"
199,"(35.412093134442344, 131.95827993133378)","(35.198081492637051, 131.77852565542895, 35.626104776247637, 132.1380342072386)"
200,"(35.412093134442344, 132.1380342072386)","(35.198081492637051, 131.95827993133378, 35.626104776247637, 132.31778848314343)"
